type;sample.name;sample.date;dilution;conc;OD
standard;NA;2018-04-20;NA;20;2,724
standard;NA;2018-04-20;NA;10;1,399
standard;NA;2018-04-20;NA;5;0,756
standard;NA;2018-04-20;NA;2,5;0,404
standard;NA;2018-04-20;NA;1,25;0,25
standard;NA;2018-04-20;NA;0,625;0,165
standard;NA;2018-04-20;NA;0,313;0,112
NC;NA;2018-04-20;NA;0;0,05
sample;EA supernatant;2018-04-20;2;NA;0,214
sample;EA supernatant;2018-04-20;2;NA;0,209
sample;EA super after incubation with sepharose;2018-04-20;2;NA;0,074
sample;EA super after incubation with sepharose;2018-04-20;2;NA;0,094
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
