name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-20 06E_03_c2;G;62;^ 1;1;0,3;euclidean;0,05;5;50;62;15;62
EA.hy926 2018-04-20 06F_01_c2;G;30;^ 1;1;0,3;euclidean;0,05;5;50;30;1;30
EA.hy926 2018-04-20 06F_02_c2;G;30;^ 1;1;0,3;euclidean;0,05;5;50;30;35;30
EA.hy926 2018-04-20 06F_03_c2;G;35;^ 1;1;0,3;euclidean;0,05;5;50;35;9;35
EA.hy926 2018-04-20 07C_01_c2;G;22;^ 1;1;0,3;euclidean;0,05;5;50;22;5;22
EA.hy926 2018-04-20 07C_02_c2;G;42;^ 1;1;0,3;euclidean;0,05;5;50;42;13;42
EA.hy926 2018-04-20 07C_03_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;3;19
EA.hy926 2018-04-20 07D_01_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;1;7
EA.hy926 2018-04-20 07D_02_c2;G;16;^ 1;1;0,3;euclidean;0,05;5;50;16;11;16
EA.hy926 2018-04-20 07D_03_c2;G;23;^ 1;1;0,3;euclidean;0,05;5;50;23;13;23
EA.hy926 2018-04-20 07E_01_c2;G;31;^ 1;1;0,3;euclidean;0,05;5;50;31;2;31
EA.hy926 2018-04-20 07E_02_c2;G;15;^ 1;1;0,3;euclidean;0,05;5;50;15;5;15
EA.hy926 2018-04-20 07E_03_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;2;19
EA.hy926 2018-04-20 07F_01_c2;G;46;^ 1;1;0,3;euclidean;0,05;5;50;46;7;46
EA.hy926 2018-04-20 07F_02_c2;G;15;^ 1;1;0,3;euclidean;0,05;5;50;15;6;15
EA.hy926 2018-04-20 07F_03_c2;G;80;^ 1;1;0,3;euclidean;0,05;5;50;80;31;34
