name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-16 02C_01_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;0;1
EA.hy926 2018-04-16 02C_02_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;50;0;0;0
EA.hy926 2018-04-16 02D_01_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;11;13
EA.hy926 2018-04-16 02D_02_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;5;4
EA.hy926 2018-04-16 02D_03_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;50;0;3;0
EA.hy926 2018-04-16 02E_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-04-16 02E_02_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;0;9
EA.hy926 2018-04-16 02E_03_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;3;2
EA.hy926 2018-04-16 02F_01_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;2;2
EA.hy926 2018-04-16 03C_01;G;380;^ 1;1;0,3;euclidean;0,05;5;50;380;231;35
EA.hy926 2018-04-16 03C_02;G;439;^ 1;1;0,3;euclidean;0,05;5;50;439;292;25
EA.hy926 2018-04-16 03C_03;G;250;^ 1;1;0,3;euclidean;0,05;5;50;250;199;18
EA.hy926 2018-04-16 03D_01;G;92;^ 1;1;0,3;euclidean;0,05;5;50;92;58;14
EA.hy926 2018-04-16 03D_02;G;176;^ 1;1;0,3;euclidean;0,05;5;50;176;91;13
EA.hy926 2018-04-16 03D_03;G;167;^ 1;1;0,3;euclidean;0,05;5;50;167;73;14
EA.hy926 2018-04-16 03E_01;G;328;^ 1;1;0,3;euclidean;0,05;5;50;328;102;6
EA.hy926 2018-04-16 03E_02;G;286;^ 1;1;0,3;euclidean;0,05;5;50;286;327;6
EA.hy926 2018-04-16 03E_03;G;304;^ 1;1;0,3;euclidean;0,05;5;50;304;165;2
EA.hy926 2018-04-16 03F_01;G;209;^ 1;1;0,3;euclidean;0,05;5;50;209;184;5
