name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-24 06E_03_c2;G;15;^ 1;1;0,3;euclidean;0,05;5;50;15;0;15
EA.hy926 2018-04-24 06F_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;5;5
EA.hy926 2018-04-24 06F_02_c2;G;31;^ 1;1;0,3;euclidean;0,05;5;50;31;1;31
EA.hy926 2018-04-24 06F_03_c2;G;11;^ 1;1;0,3;euclidean;0,05;5;50;11;5;11
EA.hy926 2018-04-24 07C_01_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;0;19
EA.hy926 2018-04-24 07C_02_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;0;9
EA.hy926 2018-04-24 07C_03_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;0;7
EA.hy926 2018-04-24 07D_01_c2;G;25;^ 1;1;0,3;euclidean;0,05;5;50;25;1;25
EA.hy926 2018-04-24 07D_02_c2;G;44;^ 1;1;0,3;euclidean;0,05;5;50;44;3;44
EA.hy926 2018-04-24 07D_03_c2;G;37;^ 1;1;0,3;euclidean;0,05;5;50;37;15;37
EA.hy926 2018-04-24 07E_01_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;1;3
EA.hy926 2018-04-24 07E_02_c2;G;29;^ 1;1;0,3;euclidean;0,05;5;50;29;17;29
EA.hy926 2018-04-24 07E_03_c2;G;22;^ 1;1;0,3;euclidean;0,05;5;50;22;7;22
EA.hy926 2018-04-24 07F_01_c2;G;60;^ 1;1;0,3;euclidean;0,05;5;50;60;5;60
EA.hy926 2018-04-24 07F_02_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;3;6
EA.hy926 2018-04-24 07F_03_c2;G;94;^ 1;1;0,3;euclidean;0,05;5;50;94;65;23
