name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;checked.circles
EA.hy926 2018-05-25 07C_01_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;1;1
EA.hy926 2018-05-25 07C_02_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;5;2
EA.hy926 2018-05-25 07C_03_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;0;7
EA.hy926 2018-05-25 07D_01_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
EA.hy926 2018-05-25 07D_02_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;3;9
EA.hy926 2018-05-25 07D_03_c2;G;10;^ 1;1;0,3;euclidean;0,05;5;50;10;3;10
EA.hy926 2018-05-25 07E_01_c2;G;16;^ 1;1;0,3;euclidean;0,05;5;50;16;50;14
EA.hy926 2018-05-25 07E_02_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;13;10
EA.hy926 2018-05-25 07E_03_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;6;9
EA.hy926 2018-05-25 07F_01_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;0;8
EA.hy926 2018-05-25 07F_02_c2;G;43;^ 1;1;0,3;euclidean;0,05;5;50;43;34;33
EA.hy926 2018-05-25 07F_03_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
