name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;cells
EA.hy926 2018-03-20 06E_03_c2;G;44;^ 1;1;0,3;euclidean;0,05;5;50;44;44;3
EA.hy926 2018-03-20 06F_01_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;6
EA.hy926 2018-03-20 06F_02_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-03-20 06F_03_c2;G;35;^ 1;1;0,3;euclidean;0,05;5;50;35;30;10
EA.hy926 2018-03-20 07C_01_c2;G;47;^ 1;1;0,3;euclidean;0,05;5;50;47;16;19
EA.hy926 2018-03-20 07C_02_c2;G;184;^ 1;1;0,3;euclidean;0,05;5;50;184;131;9
EA.hy926 2018-03-20 07C_03_c2;G;25;^ 1;1;0,3;euclidean;0,05;5;50;25;10;13
EA.hy926 2018-03-20 07D_01_c2;G;28;^ 1;1;0,3;euclidean;0,05;5;50;28;1;28
EA.hy926 2018-03-20 07D_02_c2;G;30;^ 1;1;0,3;euclidean;0,05;5;50;30;3;30
EA.hy926 2018-03-20 07D_03_c2;G;91;^ 1;1;0,3;euclidean;0,05;5;50;91;63;11
EA.hy926 2018-03-20 07E_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;2;8
EA.hy926 2018-03-20 07E_02_c2;G;26;^ 1;1;0,3;euclidean;0,05;5;50;26;26;5
EA.hy926 2018-03-20 07E_03_c2;G;66;^ 1;1;0,3;euclidean;0,05;5;50;66;13;24
EA.hy926 2018-03-20 07F_01_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;22;9
EA.hy926 2018-03-20 07F_02_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;18;5
EA.hy926 2018-03-20 07F_03_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;1;7
