name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles.checked
EA.hy926 2018-05-25 06E_02_c2;G;26;^ 1;1;0,3;euclidean;0,05;5;50;26;3;26
EA.hy926 2018-05-25 06E_03_c2;G;37;^ 1;1;0,3;euclidean;0,05;5;50;37;5;37
EA.hy926 2018-05-25 06F_01_c2;G;37;^ 1;1;0,3;euclidean;0,05;5;50;37;5;37
EA.hy926 2018-05-25 06F_02_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;2;24
EA.hy926 2018-05-25 06F_03_c2;G;33;^ 1;1;0,3;euclidean;0,05;5;50;33;6;33
EA.hy926 2018-05-25 07C_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-05-25 07C_02_c2;G;12;^ 1;1;0,3;euclidean;0,05;5;50;12;2;12
EA.hy926 2018-05-25 07C_03_c2;G;14;^ 1;1;0,3;euclidean;0,05;5;50;14;4;14
EA.hy926 2018-05-25 07D_01_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;9;17
EA.hy926 2018-05-25 07D_02_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;2;24
EA.hy926 2018-05-25 07D_03_c2;G;35;^ 1;1;0,3;euclidean;0,05;5;50;35;5;35
EA.hy926 2018-05-25 07E_01_c2;G;22;^ 1;1;0,3;euclidean;0,05;5;50;22;0;22
EA.hy926 2018-05-25 07E_02_c2;G;32;^ 1;1;0,3;euclidean;0,05;5;50;32;2;32
EA.hy926 2018-05-25 07E_03_c2;G;37;^ 1;1;0,3;euclidean;0,05;5;50;37;8;37
EA.hy926 2018-05-25 07F_01_c2;G;47;^ 1;1;0,3;euclidean;0,05;5;50;47;15;24
EA.hy926 2018-05-25 07F_02_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;4;22
EA.hy926 2018-05-25 07F_03_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;1;19
