name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-20 02C_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;0;5
EA.hy926 2018-04-20 02D_01_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;1;2
EA.hy926 2018-04-20 02D_02_c2;G;143;^ 1;1;0,3;euclidean;0,05;5;50;143;136;9
EA.hy926 2018-04-20 02D_03_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;0;1
EA.hy926 2018-04-20 02E_01_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;3;16
EA.hy926 2018-04-20 02E_02_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;2;5
EA.hy926 2018-04-20 02E_03_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;0;7
EA.hy926 2018-04-20 02F_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;1;5
EA.hy926 2018-04-20 02F_02_c2;G;105;^ 1;1;0,3;euclidean;0,05;5;50;105;69;7
EA.hy926 2018-04-20 02F_03_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;3
EA.hy926 2018-04-20 03C_01_c2;G;10;^ 1;1;0,3;euclidean;0,05;5;50;10;7;10
EA.hy926 2018-04-20 03C_02_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;0;19
EA.hy926 2018-04-20 03C_03_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;10;4
EA.hy926 2018-04-20 03D_01_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;0;8
EA.hy926 2018-04-20 03D_02_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;0;8
EA.hy926 2018-04-20 03D_03_c2;G;11;^ 1;1;0,3;euclidean;0,05;5;50;11;3;11
EA.hy926 2018-04-20 03E_01_c2;G;21;^ 1;1;0,3;euclidean;0,05;5;50;21;4;21
EA.hy926 2018-04-20 03E_02_c2;G;11;^ 1;1;0,3;euclidean;0,05;5;50;11;1;11
EA.hy926 2018-04-20 03E_03_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;3
EA.hy926 2018-04-20 03F_01_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;1;1
EA.hy926 2018-04-20 03F_02_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;2;5
EA.hy926 2018-04-20 03F_03_c2;G;25;^ 1;1;0,3;euclidean;0,05;5;50;25;25;3
