"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"D3_03";"G";1032;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1032;125;"report_4C9+TGF-beta.csv";"2018-10-04";1
"E3_01";"G";748;"^ 0.5";1;0.3;"euclidean";0.05;5;20;748;103;"report_4C9+TGF-beta.csv";"2018-10-04";1
"E3_02";"G";1163;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1163;203;"report_4C9+TGF-beta.csv";"2018-10-04";1
"E3_03";"G";1051;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1051;149;"report_4C9+TGF-beta.csv";"2018-10-04";1
"F3_01";"G";602;"^ 0.5";1;0.3;"euclidean";0.05;5;20;602;69;"report_4C9+TGF-beta.csv";"2018-10-04";1
"F3_02";"G";952;"^ 0.5";1;0.3;"euclidean";0.05;5;20;952;136;"report_4C9+TGF-beta.csv";"2018-10-04";1
"F3_03";"G";863;"^ 0.5";1;0.3;"euclidean";0.05;5;20;863;174;"report_4C9+TGF-beta.csv";"2018-10-04";1
"G3_01";"G";585;"^ 0.5";1;0.3;"euclidean";0.05;5;20;585;67;"report_4C9+TGF-beta.csv";"2018-10-04";1
"G3_02";"G";941;"^ 0.5";1;0.3;"euclidean";0.05;5;20;941;135;"report_4C9+TGF-beta.csv";"2018-10-04";1
"G3_03";"G";630;"^ 0.5";1;0.3;"euclidean";0.05;5;20;630;84;"report_4C9+TGF-beta.csv";"2018-10-04";1
"B4_01";"G";671;"^ 0.5";1;0.3;"euclidean";0.05;5;20;671;96;"report_4E4+TGF-beta.csv";"2018-10-04";1
"B4_02";"G";935;"^ 0.5";1;0.3;"euclidean";0.05;5;20;935;109;"report_4E4+TGF-beta.csv";"2018-10-04";1
"B4_03";"G";607;"^ 0.5";1;0.3;"euclidean";0.05;5;20;607;42;"report_4E4+TGF-beta.csv";"2018-10-04";1
"C4_01";"G";774;"^ 0.5";1;0.3;"euclidean";0.05;5;20;774;101;"report_4E4+TGF-beta.csv";"2018-10-04";1
"C4_02";"G";1097;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1097;178;"report_4E4+TGF-beta.csv";"2018-10-04";1
"C4_03";"G";760;"^ 0.5";1;0.3;"euclidean";0.05;5;20;760;91;"report_4E4+TGF-beta.csv";"2018-10-04";1
"D4_01";"G";742;"^ 0.5";1;0.3;"euclidean";0.05;5;20;742;72;"report_4E4+TGF-beta.csv";"2018-10-04";1
"D4_02";"G";1173;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1173;185;"report_4E4+TGF-beta.csv";"2018-10-04";1
"D4_03";"G";750;"^ 0.5";1;0.3;"euclidean";0.05;5;20;750;55;"report_4E4+TGF-beta.csv";"2018-10-04";1
"E4_01";"G";763;"^ 0.5";1;0.3;"euclidean";0.05;5;20;763;83;"report_4E4+TGF-beta.csv";"2018-10-04";1
"E4_02";"G";1168;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1168;201;"report_4E4+TGF-beta.csv";"2018-10-04";1
"E4_03";"G";749;"^ 0.5";1;0.3;"euclidean";0.05;5;20;749;85;"report_4E4+TGF-beta.csv";"2018-10-04";1
"F4_01";"G";311;"^ 0.5";1;0.3;"euclidean";0.05;5;20;311;18;"report_4E4+TGF-beta.csv";"2018-10-04";1
"F4_02";"G";445;"^ 0.5";1;0.3;"euclidean";0.05;5;20;445;29;"report_4E4+TGF-beta.csv";"2018-10-04";1
"F4_03";"G";696;"^ 0.5";1;0.3;"euclidean";0.05;5;20;696;85;"report_4E4+TGF-beta.csv";"2018-10-04";1
"G4_01";"G";552;"^ 0.5";1;0.3;"euclidean";0.05;5;20;552;41;"report_4E4+TGF-beta.csv";"2018-10-04";1
"G4_02";"G";446;"^ 0.5";1;0.3;"euclidean";0.05;5;20;446;43;"report_4E4+TGF-beta.csv";"2018-10-04";1
"G4_03";"G";595;"^ 0.5";1;0.3;"euclidean";0.05;5;20;595;76;"report_4E4+TGF-beta.csv";"2018-10-04";1
"B5_01";"G";521;"^ 0.5";1;0.3;"euclidean";0.05;5;20;521;99;"report_5H7+TGF-beta.csv";"2018-10-04";1
"B5_02";"G";799;"^ 0.5";1;0.3;"euclidean";0.05;5;20;799;128;"report_5H7+TGF-beta.csv";"2018-10-04";1
"B5_03";"G";453;"^ 0.5";1;0.3;"euclidean";0.05;5;20;453;72;"report_5H7+TGF-beta.csv";"2018-10-04";1
"C5_01";"G";699;"^ 0.5";1;0.3;"euclidean";0.05;5;20;699;122;"report_5H7+TGF-beta.csv";"2018-10-04";1
"C5_02";"G";970;"^ 0.5";1;0.3;"euclidean";0.05;5;20;970;191;"report_5H7+TGF-beta.csv";"2018-10-04";1
"C5_03";"G";758;"^ 0.5";1;0.3;"euclidean";0.05;5;20;758;136;"report_5H7+TGF-beta.csv";"2018-10-04";1
"D5_01";"G";806;"^ 0.5";1;0.3;"euclidean";0.05;5;20;806;136;"report_5H7+TGF-beta.csv";"2018-10-04";1
"D5_02";"G";1130;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1130;224;"report_5H7+TGF-beta.csv";"2018-10-04";1
"D5_03";"G";792;"^ 0.5";1;0.3;"euclidean";0.05;5;20;792;123;"report_5H7+TGF-beta.csv";"2018-10-04";1
"E5_01";"G";780;"^ 0.5";1;0.3;"euclidean";0.05;5;20;780;103;"report_5H7+TGF-beta.csv";"2018-10-04";1
"E5_02";"G";1121;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1121;244;"report_5H7+TGF-beta.csv";"2018-10-04";1
"E5_03";"G";629;"^ 0.5";1;0.3;"euclidean";0.05;5;20;629;93;"report_5H7+TGF-beta.csv";"2018-10-04";1
"F5_01";"G";702;"^ 0.5";1;0.3;"euclidean";0.05;5;20;702;98;"report_5H7+TGF-beta.csv";"2018-10-04";1
"F5_02";"G";1246;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1246;170;"report_5H7+TGF-beta.csv";"2018-10-04";1
