"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"F3_01";"G";996;"^ 0.5";1;0.3;"euclidean";0.05;5;20;996;494;"report_4C9.csv";"2018-10-03";2
"F3_02";"G";1094;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1094;538;"report_4C9.csv";"2018-10-03";2
"F3_03";"G";1065;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1065;420;"report_4C9.csv";"2018-10-03";2
"G3_01";"G";990;"^ 0.5";1;0.3;"euclidean";0.05;5;20;990;295;"report_4C9.csv";"2018-10-03";2
"G3_02";"G";1339;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1339;395;"report_4C9.csv";"2018-10-03";2
"G3_03";"G";771;"^ 0.5";1;0.3;"euclidean";0.05;5;20;771;177;"report_4C9.csv";"2018-10-03";2
"B4_01";"G";1580;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1580;392;"report_4E4.csv";"2018-10-03";2
"B4_02";"G";1566;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1566;401;"report_4E4.csv";"2018-10-03";2
"B4_03";"G";1263;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1263;181;"report_4E4.csv";"2018-10-03";2
"C4_01";"G";1576;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1576;538;"report_4E4.csv";"2018-10-03";2
"C4_02";"G";1617;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1617;646;"report_4E4.csv";"2018-10-03";2
"C4_03";"G";1444;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1444;415;"report_4E4.csv";"2018-10-03";2
"D4_01";"G";1583;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1583;406;"report_4E4.csv";"2018-10-03";2
"D4_02";"G";2061;"^ 0.5";1;0.3;"euclidean";0.05;5;20;2061;472;"report_4E4.csv";"2018-10-03";2
"D4_03";"G";1438;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1438;231;"report_4E4.csv";"2018-10-03";2
"E4_01";"G";1527;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1527;397;"report_4E4.csv";"2018-10-03";2
"E4_02";"G";1513;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1513;387;"report_4E4.csv";"2018-10-03";2
"E4_03";"G";1681;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1681;309;"report_4E4.csv";"2018-10-03";2
"F4_01";"G";1171;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1171;187;"report_4E4.csv";"2018-10-03";2
"F4_02";"G";1360;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1360;354;"report_4E4.csv";"2018-10-03";2
"F4_03";"G";1023;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1023;174;"report_4E4.csv";"2018-10-03";2
"G4_01";"G";1226;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1226;235;"report_4E4.csv";"2018-10-03";2
"G4_02";"G";1428;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1428;331;"report_4E4.csv";"2018-10-03";2
"G4_03";"G";939;"^ 0.5";1;0.3;"euclidean";0.05;5;20;939;141;"report_4E4.csv";"2018-10-03";2
"B5_01";"G";948;"^ 0.5";1;0.3;"euclidean";0.05;5;20;948;299;"report_5H7.csv";"2018-10-03";2
"B5_02";"G";1270;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1270;345;"report_5H7.csv";"2018-10-03";2
"B5_03";"G";1053;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1053;289;"report_5H7.csv";"2018-10-03";2
"C5_01";"G";839;"^ 0.5";1;0.3;"euclidean";0.05;5;20;839;273;"report_5H7.csv";"2018-10-03";2
"C5_02";"G";922;"^ 0.5";1;0.3;"euclidean";0.05;5;20;922;391;"report_5H7.csv";"2018-10-03";2
"C5_03";"G";563;"^ 0.5";1;0.3;"euclidean";0.05;5;20;563;207;"report_5H7.csv";"2018-10-03";2
"D5_01";"G";814;"^ 0.5";1;0.3;"euclidean";0.05;5;20;814;223;"report_5H7.csv";"2018-10-03";2
"D5_02";"G";1224;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1224;375;"report_5H7.csv";"2018-10-03";2
"D5_03";"G";942;"^ 0.5";1;0.3;"euclidean";0.05;5;20;942;228;"report_5H7.csv";"2018-10-03";2
"E5_01";"G";634;"^ 0.5";1;0.3;"euclidean";0.05;5;20;634;158;"report_5H7.csv";"2018-10-03";2
"E5_02";"G";1137;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1137;225;"report_5H7.csv";"2018-10-03";2
"E5_03";"G";735;"^ 0.5";1;0.3;"euclidean";0.05;5;20;735;130;"report_5H7.csv";"2018-10-03";2
"F5_01";"G";602;"^ 0.5";1;0.3;"euclidean";0.05;5;20;602;170;"report_5H7.csv";"2018-10-03";2
"F5_02";"G";908;"^ 0.5";1;0.3;"euclidean";0.05;5;20;908;375;"report_5H7.csv";"2018-10-03";2
"F5_03";"G";1022;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1022;398;"report_5H7.csv";"2018-10-03";2
"G5_01";"G";796;"^ 0.5";1;0.3;"euclidean";0.05;5;20;796;204;"report_5H7.csv";"2018-10-03";2
"G5_02";"G";1119;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1119;231;"report_5H7.csv";"2018-10-03";2
"G5_03";"G";303;"^ 0.5";1;0.3;"euclidean";0.05;5;20;303;91;"report_5H7.csv";"2018-10-03";2
"B7_01";"G";1095;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1095;397;"report_control.csv";"2018-10-03";2
"B7_02";"G";994;"^ 0.5";1;0.3;"euclidean";0.05;5;20;994;435;"report_control.csv";"2018-10-03";2
"B7_03";"G";891;"^ 0.5";1;0.3;"euclidean";0.05;5;20;891;365;"report_control.csv";"2018-10-03";2
"C7_01";"G";865;"^ 0.5";1;0.3;"euclidean";0.05;5;20;865;294;"report_control.csv";"2018-10-03";2
"C7_02";"G";1016;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1016;407;"report_control.csv";"2018-10-03";2
"C7_03";"G";885;"^ 0.5";1;0.3;"euclidean";0.05;5;20;885;285;"report_control.csv";"2018-10-03";2
"D7_01";"G";1009;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1009;321;"report_control.csv";"2018-10-03";2
"D7_02";"G";1175;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1175;473;"report_control.csv";"2018-10-03";2
"D7_03";"G";1139;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1139;340;"report_control.csv";"2018-10-03";2
"E7_01";"G";1148;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1148;279;"report_control.csv";"2018-10-03";2
"E7_02";"G";1151;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1151;294;"report_control.csv";"2018-10-03";2
"E7_03";"G";1179;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1179;185;"report_control.csv";"2018-10-03";2
"F7_01";"G";807;"^ 0.5";1;0.3;"euclidean";0.05;5;20;807;112;"report_control.csv";"2018-10-03";2
"F7_02";"G";619;"^ 0.5";1;0.3;"euclidean";0.05;5;20;619;58;"report_control.csv";"2018-10-03";2
"F7_03";"G";705;"^ 0.5";1;0.3;"euclidean";0.05;5;20;705;89;"report_control.csv";"2018-10-03";2
"G7_01";"G";753;"^ 0.5";1;0.3;"euclidean";0.05;5;20;753;87;"report_control.csv";"2018-10-03";2
"G7_02";"G";982;"^ 0.5";1;0.3;"euclidean";0.05;5;20;982;147;"report_control.csv";"2018-10-03";2
"G7_03";"G";733;"^ 0.5";1;0.3;"euclidean";0.05;5;20;733;79;"report_control.csv";"2018-10-03";2
