"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"D3_02";"G";1116;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1116;265;"report_4C9+TGF-beta.csv";"2018-10-04";1
"D3_03";"G";1433;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1433;335;"report_4C9+TGF-beta.csv";"2018-10-04";1
"E3_01";"G";1074;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1074;256;"report_4C9+TGF-beta.csv";"2018-10-04";1
"E3_02";"G";1309;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1309;249;"report_4C9+TGF-beta.csv";"2018-10-04";1
"E3_03";"G";1637;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1637;226;"report_4C9+TGF-beta.csv";"2018-10-04";1
"F3_01";"G";1109;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1109;325;"report_4C9+TGF-beta.csv";"2018-10-04";1
"F3_02";"G";1389;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1389;333;"report_4C9+TGF-beta.csv";"2018-10-04";1
"F3_03";"G";1711;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1711;297;"report_4C9+TGF-beta.csv";"2018-10-04";1
"G3_01";"G";782;"^ 0.5";1;0.3;"euclidean";0.05;5;20;782;98;"report_4C9+TGF-beta.csv";"2018-10-04";1
"G3_02";"G";1141;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1141;182;"report_4C9+TGF-beta.csv";"2018-10-04";1
"G3_03";"G";1891;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1891;341;"report_4C9+TGF-beta.csv";"2018-10-04";1
"B4_01";"G";999;"^ 0.5";1;0.3;"euclidean";0.05;5;20;999;138;"report_4E4+TGF-beta.csv";"2018-10-04";1
"B4_02";"G";1057;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1057;199;"report_4E4+TGF-beta.csv";"2018-10-04";1
"B4_03";"G";608;"^ 0.5";1;0.3;"euclidean";0.05;5;20;608;68;"report_4E4+TGF-beta.csv";"2018-10-04";1
"C4_01";"G";1173;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1173;175;"report_4E4+TGF-beta.csv";"2018-10-04";1
"C4_02";"G";1187;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1187;151;"report_4E4+TGF-beta.csv";"2018-10-04";1
