name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-17 05F_01_c2;G;42;^ 1;1;0,3;euclidean;0,05;5;50;42;2;42
EA.hy926 2018-04-17 05F_03_c2;G;25;^ 1;1;0,3;euclidean;0,05;5;50;25;4;25
EA.hy926 2018-04-17 06C_01_c2;G;14;^ 1;1;0,3;euclidean;0,05;5;50;14;0;14
EA.hy926 2018-04-17 06C_02_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
EA.hy926 2018-04-17 06C_03_c2;G;48;^ 1;1;0,3;euclidean;0,05;5;50;48;38;23
EA.hy926 2018-04-17 06D_01_c2;G;29;^ 1;1;0,3;euclidean;0,05;5;50;29;1;29
EA.hy926 2018-04-17 06D_02_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;2;5
EA.hy926 2018-04-17 06D_03_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;1;9
EA.hy926 2018-04-17 06E_01_c2;G;28;^ 1;1;0,3;euclidean;0,05;5;50;28;1;28
EA.hy926 2018-04-17 06E_02_c2;G;27;^ 1;1;0,3;euclidean;0,05;5;50;27;2;27
EA.hy926 2018-04-17 06E_03_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;1;5
EA.hy926 2018-04-17 06F_01_c2;G;29;^ 1;1;0,3;euclidean;0,05;5;50;29;0;29
EA.hy926 2018-04-17 06F_02_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;2;6
EA.hy926 2018-04-17 06F_03_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;3;20
EA.hy926 2018-04-17 07C_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;1;4
EA.hy926 2018-04-17 07C_02_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-04-17 07C_03_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;0;2
EA.hy926 2018-04-17 07D_01_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;0;19
EA.hy926 2018-04-17 07D_02_c2;G;71;^ 1;1;0,3;euclidean;0,05;5;50;71;5;71
EA.hy926 2018-04-17 07D_03_c2;G;91;^ 1;1;0,3;euclidean;0,05;5;50;91;54;91
EA.hy926 2018-04-17 07E_01_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;0;13
EA.hy926 2018-04-17 07E_02_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;1;13
EA.hy926 2018-04-17 07E_03_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;0;6
EA.hy926 2018-04-17 07F_01_c2;G;14;^ 1;1;0,3;euclidean;0,05;5;50;14;0;14
EA.hy926 2018-04-17 07F_02_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;3
EA.hy926 2018-04-17 07F_03_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;2;6
