name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-17 02C_01_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;0;1
EA.hy926 2018-04-17 02C_02_c2;G;42;^ 1;1;0,3;euclidean;0,05;5;50;42;11;42
EA.hy926 2018-04-17 02D_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-04-17 02D_02_c2;G;16;^ 1;1;0,3;euclidean;0,05;5;50;16;5;16
EA.hy926 2018-04-17 02D_03_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;3
EA.hy926 2018-04-17 02E_01_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;0;9
EA.hy926 2018-04-17 02E_02_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;0;1
EA.hy926 2018-04-17 02E_03_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;0;6
EA.hy926 2018-04-17 02F_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-04-17 02F_02_c2;G;21;^ 1;1;0,3;euclidean;0,05;5;50;21;35;21
EA.hy926 2018-04-17 02F_03_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-04-17 03C_01_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;1;3
EA.hy926 2018-04-17 03C_02_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;1;5
EA.hy926 2018-04-17 03C_03_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;0;6
EA.hy926 2018-04-17 03D_01_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;4;3
EA.hy926 2018-04-17 03D_02_c2;G;10;^ 1;1;0,3;euclidean;0,05;5;50;10;1;10
EA.hy926 2018-04-17 03D_03_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;50;0;0;0
EA.hy926 2018-04-17 03E_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;0;5
EA.hy926 2018-04-17 03E_02_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;11;13
EA.hy926 2018-04-17 03E_03_c2;G;214;^ 1;1;0,3;euclidean;0,05;5;50;214;364;6
EA.hy926 2018-04-17 03F_01_c2;G;21;^ 1;1;0,3;euclidean;0,05;5;50;21;9;21
EA.hy926 2018-04-17 03F_02_c2;G;44;^ 1;1;0,3;euclidean;0,05;5;50;44;37;25
EA.hy926 2018-04-17 03F_03_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;1;6
EA.hy926 2018-04-17 04C_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;1;5
EA.hy926 2018-04-17 04C_02_c2;G;10;^ 1;1;0,3;euclidean;0,05;5;50;10;1;10
EA.hy926 2018-04-17 04CD_01_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;5;2
EA.hy926 2018-04-17 04D_01_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;5;2
EA.hy926 2018-04-17 04D_02_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;0;2
EA.hy926 2018-04-17 04E_01_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;2;17
EA.hy926 2018-04-17 04E_02_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;2;3
EA.hy926 2018-04-17 04E_03_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;6;4
EA.hy926 2018-04-17 04F_01_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;1;2
EA.hy926 2018-04-17 04F_02_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-04-17 05C_01_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;0;13
EA.hy926 2018-04-17 05C_02_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;8;17
EA.hy926 2018-04-17 05C_03_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
EA.hy926 2018-04-17 05D_01_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;13;19
EA.hy926 2018-04-17 05D_02_c2;G;26;^ 1;1;0,3;euclidean;0,05;5;50;26;3;26
EA.hy926 2018-04-17 05D_03_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;0;2
EA.hy926 2018-04-17 05E_01_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;0;6
EA.hy926 2018-04-17 05E_02_c2;G;16;^ 1;1;0,3;euclidean;0,05;5;50;16;0;16
EA.hy926 2018-04-17 05E_03_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;50;0;0;0
