name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;cells
EA.hy926 2018-03-16 06E_03_c2;G;14;^ 1;1;0,3;euclidean;0,05;5;50;14;24;14
EA.hy926 2018-03-16 06F_01_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;5;9
EA.hy926 2018-03-16 06F_02_c2;G;27;^ 1;1;0,3;euclidean;0,05;5;50;27;1;27
EA.hy926 2018-03-16 06F_03_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;0;20
EA.hy926 2018-03-16 07C_01_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;7
EA.hy926 2018-03-16 07C_02_c2;G;10;^ 1;1;0,3;euclidean;0,05;5;50;10;4;10
EA.hy926 2018-03-16 07C_03_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;0;28
EA.hy926 2018-03-16 07D_01_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;0;13
EA.hy926 2018-03-16 07D_02_c2;G;22;^ 1;1;0,3;euclidean;0,05;5;50;22;4;22
EA.hy926 2018-03-16 07D_03_c2;G;37;^ 1;1;0,3;euclidean;0,05;5;50;37;12;37
EA.hy926 2018-03-16 07E_01_c2;G;21;^ 1;1;0,3;euclidean;0,05;5;50;21;39;21
EA.hy926 2018-03-16 07E_02_c2;G;55;^ 1;1;0,3;euclidean;0,05;5;50;55;8;55
EA.hy926 2018-03-16 07E_03_c2;G;40;^ 1;1;0,3;euclidean;0,05;5;50;40;2;40
EA.hy926 2018-03-16 07F_01_c2;G;41;^ 1;1;0,3;euclidean;0,05;5;50;41;57;2
EA.hy926 2018-03-16 07F_02_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;2;21
EA.hy926 2018-03-16 07F_03_c2;G;23;^ 1;1;0,3;euclidean;0,05;5;50;23;1;23
